=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:24:43
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,2
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8
STRONG minVR,5.1
STRONG maxHold,7
STRONG TS after,6
STRONG TS dist %,1.6
BASE minVR,2
BASE maxHold,5
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1184
Средняя доходность %,4.08
Медианная доходность %,1.36
Win rate %,65.4
Profit factor,5.84
Sharpe,2.52
Макс просадка %,44.75
Общая доходность %,31716217576.87
CAGR %,0.00
Макс выигрыш %,182.78
Макс проигрыш %,-28.12
Ср. выигрыш %,7.53
Ср. проигрыш %,2.44
Макс серия побед,17
Макс серия потерь,5
Ср. удержание дней,4.6
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
1,SIBN,S2,BASE,2.94,3.25,2015-01-21,2015-01-22,2015-01-29,155.75,154.06,-1.08,5,ts_extend
2,AMEZ,S2,BASE,3.71,8.77,2015-01-28,2015-01-29,2015-02-05,5.37,5.85,8.92,5,ts_extend
3,MGNT,S1,BASE,2.12,5.12,2015-02-06,2015-02-09,2015-02-16,11458.30,12106.43,5.66,5,ts_extend
4,SNGS,S1,BASE,2.14,4.40,2015-02-06,2015-02-09,2015-02-16,35.91,37.37,4.07,5,ts_extend
5,BISVP,S2,BASE,2.42,3.32,2015-02-10,2015-02-12,2015-02-13,4.39,4.37,-0.32,0,rotate_atr20
6,PLZL,S2,BASE,2.59,3.82,2015-02-11,2015-02-12,2015-02-16,110.23,114.82,4.16,2,rotate_atr20
7,UNKL,S2,ULTRA,9.49,11.96,2015-02-12,2015-02-13,2015-02-26,1402.24,1828.50,30.40,6,ts_extend
8,LSNG,S2,ULTRA,8.08,6.46,2015-02-13,2015-02-16,2015-02-25,2.16,2.23,3.11,6,ts_extend
9,KMAZ,S2,BASE,3.28,5.60,2015-02-24,2015-02-25,2015-03-04,44.67,52.17,16.80,5,ts_extend
10,KZOS,S2,ULTRA,8.37,5.52,2015-02-25,2015-02-26,2015-03-10,18.03,17.84,-1.03,6,ts_extend
11,MRKY,S2,BASE,3.22,6.96,2015-03-03,2015-03-04,2015-03-12,0.04,0.04,-0.80,5,ts_extend
12,KZOS,S2,STRONG,6.75,3.23,2015-03-12,2015-03-13,2015-03-17,19.03,20.97,10.17,2,rotate_atr20
13,SAGOP,S2,STRONG,6.07,5.30,2015-03-12,2015-03-13,2015-03-23,0.23,0.29,29.47,6,ts_extend
14,ALRS,S1,BASE,2.02,4.65,2015-03-16,2015-03-17,2015-03-24,82.93,82.58,-0.42,5,ts_extend
15,YKEN,S2,ULTRA,8.71,8.52,2015-03-16,2015-03-17,2015-03-26,0.17,0.18,2.15,6,ts_extend
