=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T22:42:38
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,quarter

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,10
Дней сигнала,1
ATR мин %,1.2
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.45
Макс дн. доходность %,10
VR подтверждение,1.5
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,22
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7
ULTRA maxHold,15
ULTRA TS after,6
ULTRA TS dist %,2.6
STRONG minVR,6.5
STRONG maxHold,13
STRONG TS after,6
STRONG TS dist %,1.8
BASE minVR,3.6
BASE maxHold,10
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1734
Средняя доходность %,2.72
Медианная доходность %,0.88
Win rate %,60.4
Profit factor,3.03
Sharpe,2.06
Макс просадка %,40.18
Общая доходность %,405079502.78
CAGR %,0.00
Макс выигрыш %,125.04
Макс проигрыш %,-22.12
Ср. выигрыш %,6.72
Ср. проигрыш %,3.39
Макс серия побед,14
Макс серия потерь,7
Ср. удержание дней,4.2
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
1,SIBN,S2,ULTRA,8.67,3.07,2015-01-22,2015-01-23,2015-01-28,154.05,151.46,-1.68,3,rebalance_half
2,SIBN,S2,ULTRA,8.67,3.07,2015-01-22,2015-01-23,2015-01-29,154.05,152.66,-0.90,4,rotate_atr20
3,NKNCP,S2,BASE,4.33,4.08,2015-01-27,2015-01-28,2015-02-04,18.25,21.44,17.49,5,ts_extend
4,AMEZ,S2,BASE,3.71,8.77,2015-01-28,2015-01-29,2015-02-05,5.37,5.85,8.92,5,ts_extend
5,USBN,S2,ULTRA,8.93,11.18,2015-02-12,2015-02-13,2015-02-24,0.02,0.03,59.57,6,ts_extend
6,UNKL,S2,ULTRA,9.49,11.96,2015-02-12,2015-02-13,2015-02-26,1402.24,1813.60,29.34,6,ts_extend
7,TGKA,S2,ULTRA,7.44,4.20,2015-02-25,2015-02-26,2015-03-02,0.00,0.00,-1.75,2,rotate_atr20
8,KZOS,S2,ULTRA,8.37,5.52,2015-02-25,2015-02-26,2015-03-10,18.03,17.70,-1.83,6,ts_extend
9,SAREP,S2,BASE,5.24,6.86,2015-02-27,2015-03-02,2015-03-10,0.05,0.05,3.99,5,ts_extend
10,KZOS,S2,STRONG,6.75,3.23,2015-03-12,2015-03-13,2015-03-17,19.03,20.97,10.17,2,rotate_atr20
11,SAGOP,S2,BASE,6.07,5.30,2015-03-12,2015-03-13,2015-03-20,0.23,0.29,29.74,5,ts_extend
