=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T23:31:05
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,3.6
Макс VR,10
Дней сигнала,1
ATR мин %,1.3
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.55
Макс дн. доходность %,10
VR подтверждение,2
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,28
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7.1
ULTRA maxHold,10
ULTRA TS after,6
ULTRA TS dist %,1.8

=== ИТОГИ ===
Всего сделок,256
Средняя доходность %,5.70
Медианная доходность %,2.54
Win rate %,69.9
Profit factor,8.86
Sharpe,2.62
Макс просадка %,37.53
Общая доходность %,434541.46
CAGR %,0.00
Макс выигрыш %,126.89
Макс проигрыш %,-28.12
Ср. выигрыш %,9.19
Ср. проигрыш %,2.41
Макс серия побед,10
Макс серия потерь,4
Ср. удержание дней,6.0
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
1,SIBN,S2,ULTRA,8.67,3.07,2015-01-22,2015-01-23,2015-02-03,154.05,156.28,1.45,7,ts_extend
2,USBN,S2,ULTRA,8.93,11.18,2015-02-12,2015-02-13,2015-02-24,0.02,0.03,60.88,6,ts_extend
3,UNKL,S2,ULTRA,9.49,11.96,2015-02-12,2015-02-13,2015-02-26,1402.24,1828.50,30.40,6,ts_extend
4,TGKA,S2,ULTRA,7.44,4.20,2015-02-25,2015-02-26,2015-03-06,0.00,0.00,0.50,6,ts_extend
5,KZOS,S2,ULTRA,8.37,5.52,2015-02-25,2015-02-26,2015-03-10,18.03,17.84,-1.03,6,ts_extend
6,YKEN,S2,ULTRA,8.71,8.52,2015-03-16,2015-03-17,2015-03-26,0.17,0.18,2.15,6,ts_extend
7,LNZLP,S2,ULTRA,7.62,3.83,2015-04-07,2015-04-08,2015-04-16,1742.78,1754.97,0.70,6,ts_extend
8,SELG,S2,ULTRA,7.86,2.21,2015-06-25,2015-06-26,2015-07-02,4.21,4.04,-4.00,4,rotate_atr20
9,MVID,S2,ULTRA,7.36,2.29,2015-06-25,2015-06-26,2015-07-06,191.31,187.56,-1.96,6,ts_extend
10,PLZL,S2,ULTRA,7.96,5.23,2015-07-01,2015-07-02,2015-07-13,173.28,178.19,2.84,7,ts_extend
