=== ПАРАМЕТРЫ ПРОГОНА ===
Дата прогона,2026-03-18T22:55:04
Капитал,1000000
Старт,2015
OOS год,2023
Макс позиций S1,2
Макс позиций S2,2
Комиссия %,0.06
Проскальзывание %,0.10
Ребалансировка,none

--- Сигнал ---
Мин объём (млн),100
Мин VR,2.5
Макс VR,10
Дней сигнала,1
ATR мин %,1.2
ATR окно,20
MA период,50
MA фильтр,above
Bull bar,да
CP мин %,0.45
Макс дн. доходность %,10
VR подтверждение,1.5
Gap отмена %,6
Vol окно,30

--- Выход ---
Стоп-лосс %,22
Див гэп %,3
ROT множитель,1.5
ROT абс %,0.5

--- Тиры ---
ULTRA minVR,7
ULTRA maxHold,15
ULTRA TS after,6
ULTRA TS dist %,2.6
STRONG minVR,6.5
STRONG maxHold,13
STRONG TS after,6
STRONG TS dist %,1.8
BASE minVR,2.5
BASE maxHold,10
BASE TS after,5
BASE TS dist %,1.4

=== ИТОГИ ===
Всего сделок,1292
Средняя доходность %,3.41
Медианная доходность %,1.10
Win rate %,63.1
Profit factor,4.25
Sharpe,2.32
Макс просадка %,42.37
Общая доходность %,1140373965.52
CAGR %,0.00
Макс выигрыш %,125.04
Макс проигрыш %,-22.12
Ср. выигрыш %,7.08
Ср. проигрыш %,2.85
Макс серия побед,12
Макс серия потерь,8
Ср. удержание дней,4.6
Период,2015-01-05 — 2026-03-18

=== СДЕЛКИ ===
#,Ticker,Strategy,Tier,VR,ATR%,Signal,Entry,Exit,EntryPx,ExitPx,Return%,Held,Reason
1,NNSBP,S2,BASE,2.86,5.44,2014-12-26,2015-01-06,2015-01-20,626.00,487.50,-22.12,4,cat_stop
2,SIBN,S2,BASE,2.94,3.25,2015-01-21,2015-01-22,2015-01-29,155.75,154.06,-1.08,5,ts_extend
3,AMEZ,S2,BASE,3.71,8.77,2015-01-28,2015-01-29,2015-02-05,5.37,5.85,8.92,5,ts_extend
4,PLZL,S2,BASE,2.59,3.82,2015-02-11,2015-02-12,2015-02-19,110.23,116.16,5.39,5,ts_extend
5,GAZP,S1,BASE,2.55,3.20,2015-02-12,2015-02-13,2015-02-20,162.66,164.34,1.03,5,ts_extend
6,SBER,S1,BASE,2.80,3.71,2015-02-12,2015-02-13,2015-02-20,70.71,75.64,6.97,5,ts_extend
7,TTLK,S2,BASE,4.78,2.59,2015-02-17,2015-02-19,2015-02-25,0.15,0.15,-1.62,2,rotate_atr20
8,TORSP,S2,ULTRA,8.23,5.20,2015-02-18,2015-02-19,2015-03-04,0.27,0.26,-2.76,6,ts_extend
9,MTLRP,S2,BASE,2.67,8.61,2015-02-24,2015-02-25,2015-03-04,55.50,68.60,23.61,5,ts_extend
10,MRKK,S2,BASE,3.00,6.28,2015-03-03,2015-03-04,2015-03-12,18.58,19.39,4.38,5,ts_extend
11,MRKY,S2,BASE,3.22,6.96,2015-03-03,2015-03-04,2015-03-12,0.04,0.04,-0.80,5,ts_extend
12,KZOS,S2,STRONG,6.75,3.23,2015-03-12,2015-03-13,2015-03-17,19.03,20.97,10.17,2,rotate_atr20
13,SAGOP,S2,BASE,6.07,5.30,2015-03-12,2015-03-13,2015-03-20,0.23,0.29,29.74,5,ts_extend
14,YKEN,S2,ULTRA,8.71,8.52,2015-03-16,2015-03-17,2015-03-26,0.17,0.17,1.32,6,ts_extend
15,IRKT,S2,BASE,5.35,3.31,2015-03-20,2015-03-23,2015-03-30,6.91,6.80,-1.56,5,ts_extend
16,MAGE,S2,BASE,3.61,12.92,2015-03-27,2015-03-30,2015-04-06,2.69,3.24,20.39,5,ts_extend
17,LNZL,S2,BASE,4.64,3.76,2015-04-07,2015-04-08,2015-04-15,5158.24,5394.63,4.58,5,ts_extend
18,LNZLP,S2,ULTRA,7.62,3.83,2015-04-07,2015-04-08,2015-04-16,1742.78,1740.67,-0.12,6,ts_extend
19,AFLT,S1,BASE,4.49,3.73,2015-04-10,2015-04-13,2015-04-20,37.19,38.84,4.43,5,ts_extend
20,GCHE,S2,BASE,2.56,4.59,2015-04-15,2015-04-16,2015-04-23,724.16,755.05,4.27,5,ts_extend
21,DZRDP,S2,BASE,5.49,6.39,2015-04-15,2015-04-16,2015-04-23,1252.00,1367.36,9.21,5,ts_extend
22,DIOD,S2,BASE,3.39,3.49,2015-04-24,2015-04-27,2015-04-28,4.29,4.31,0.61,1,rotate_atr20
23,PLZL,S2,BASE,2.50,3.90,2015-04-24,2015-04-27,2015-05-06,140.22,158.89,13.31,5,ts_extend
24,TGKB,S2,BASE,6.30,7.91,2015-04-27,2015-04-28,2015-05-07,0.00,0.00,1.23,5,ts_extend
25,KRKN,S2,BASE,6.08,4.10,2015-04-24,2015-05-06,2015-06-02,10997.57,12305.28,11.89,5,ts_extend
26,MSTT,S2,BASE,3.69,2.77,2015-05-06,2015-05-07,2015-05-12,90.74,90.75,0.01,2,rotate_atr20
27,ARSA,S2,BASE,5.72,6.24,2015-05-08,2015-05-12,2015-05-20,0.83,0.84,0.65,5,ts_extend
28,MSTT,S2,BASE,5.41,2.29,2015-05-19,2015-05-20,2015-05-26,94.45,87.36,-7.51,4,rotate_atr20
29,PMSB,S2,BASE,5.11,4.26,2015-05-25,2015-05-26,2015-06-04,45.97,47.84,4.07,5,ts_extend
30,GAZAP,S2,BASE,3.64,4.69,2015-06-01,2015-06-03,2015-06-19,321.51,319.49,-0.63,2,rotate_atr20
31,RTSBP,S2,BASE,6.06,5.50,2015-06-03,2015-06-05,2015-06-16,0.23,0.26,13.67,5,ts_extend
32,RTKM,S1,BASE,4.63,1.86,2015-06-09,2015-06-10,2015-06-18,97.26,95.83,-1.46,5,ts_extend
33,MRKZ,S2,BASE,5.05,5.45,2015-06-15,2015-06-16,2015-06-23,0.03,0.03,2.45,5,ts_extend
34,LSNG,S2,BASE,3.37,7.14,2015-06-18,2015-06-19,2015-06-26,3.42,3.42,-0.13,5,ts_extend
35,CNTL,S2,BASE,2.82,4.13,2015-06-24,2015-06-25,2015-07-02,17.53,17.25,-1.56,5,ts_extend
36,SELG,S2,ULTRA,7.86,2.21,2015-06-25,2015-06-26,2015-07-01,4.21,4.08,-2.93,3,rotate_atr20
37,RGSS,S1,BASE,2.87,1.50,2015-06-26,2015-06-29,2015-08-14,5.27,5.23,-0.78,9,ts_extend
